modelo,fallos,latencia_algoritmica_ms,latencia_computacional_ms,latencia_total_ms,crecimiento,rtf,wer
Qwen3-ASR,3,480.0,351.5165920890694,831.5165920890694,3.208845494100515,0.7439466962792217,154.71847739888977
Qwen3-ASR,1,1000.0,321.4718999719069,1321.4718999719069,2.1747734733196626,0.33057832365733963,8.559168925022584
Qwen3-ASR,0,2000.0,354.6311550033192,2354.6311550033192,1.7674081031385263,0.18699531608203707,8.895385257882648
Qwen3-ASR,0,4000.0,432.5980831822525,4432.598083182253,1.361424155484866,0.12113873145341494,7.934850699519733
