,wer,wer,rtf,rtf,fallos,fallos
modo,offline,streaming,offline,streaming,offline,streaming
idioma,,,,,,
de,10.26099392205935,12.191633893457276,0.05691843411818591,0.49255497315820024,0.0,0.0
en,7.778738115816767,15.573515697855145,0.039046945708984,0.4544659625532708,0.0,1.0
es,7.459893048128342,10.802139037433154,0.05671005858030146,0.5209779798383705,0.0,0.0
fr,6.214689265536723,11.042629686697483,0.052879933050614045,0.525634508815503,0.0,0.0
